rule_id,target_table,target_columns,transformation,rationale,source_fields,null_policy
TR-001,all exported tables,all text fields,Unicode NFC normalization and surrounding/repeated whitespace cleanup only.,Prevents formatting artifacts without changing words or language.,Source text,Blank stays blank.
TR-002,products/categories,category_id,Blank source product category mapped to __unknown__; source_category_missing_flag set to 1.,Maintains foreign-key integrity without inventing a category.,product_category_name,No imputation.
TR-003,products/categories,English category label,Use source translation when present; otherwise retain Portuguese source label and mark translation status.,Avoids guessed translations.,product_category_name_translation,No blank output label; provenance flag retained.
TR-004,dates and date foreign keys,date_id fields,Derive integer YYYYMMDD keys from source timestamps and build a continuous date dimension from global minimum to maximum.,"Supports star-schema time analysis and every source timestamp, including outliers.",All timestamp columns,Source timestamp nulls remain null.
TR-005,order_items,quantity,Set quantity=1 for every row.,Each source order_item_id row is one item occurrence; repeated units appear as separate sequence rows.,order_id + order_item_id,Not applicable.
TR-006,order_items,line values,line_merchandise_value=unit_price; line_total_value=unit_price+freight_value.,Transparent additive item measures.,"price, freight_value",No imputation.
TR-007,orders,item aggregates,Count item rows/products/sellers and sum merchandise/freight by order.,Creates safe order-grain metrics without duplicating item values.,order_items,Orders with no item rows receive zero aggregates plus has_items_flag=0.
TR-008,orders,primary_payment_type,Choose the highest-value payment row; lower payment_sequential breaks ties.,Deterministic single payment label for mixed-payment orders.,payments,Null when no payment row exists.
TR-009,orders,review aggregates,Average all review scores; latest score uses latest answer timestamp; expose review_count.,Preserves multiple-review reality instead of dropping rows.,reviews,Null scores when no review exists.
TR-010,orders,delivery fields,Compute durations with source timestamps; late means actual delivery after estimate.,Supports logistics analysis with explicit semantics.,order timestamps,Null when required timestamp is absent.
TR-011,orders,chronology_anomaly_flag,Flag carrier-before-purchase or customer-delivery-before-carrier.,Preserves and identifies source chronology anomalies.,order timestamps,No timestamp is rewritten.
TR-012,orders,payment reconciliation,payment_value minus item merchandise-plus-freight; reconciled when absolute difference <=0.02.,Makes financial discrepancies visible without balancing adjustments.,"payments, order_items",Null when either side is absent.
TR-013,customers,customer sequence/lifetime fields,Window orders by purchase timestamp within customer_unique_id.,Enables repeat-customer analysis while retaining every source customer_id row.,"customers, orders",No imputation.
TR-014,sellers,seller performance fields,Aggregate source item/order activity by seller.,Provides a seller dimension with auditable metrics.,"sellers, order_items, orders",Zero only when the empty-set aggregate is structurally valid.
TR-015,customer_features,latest location,"Use location from the most recent order, with customer_id as deterministic tie-breaker.",Creates one model-ready row per stable shopper.,"customers, orders",Favorite category/payment may remain null if source child rows are absent.
TR-016,order_items_flat,joined wide table,Join only on validated foreign keys and retain exactly one output row per order item.,Provides a BI/ML-friendly file while preserving line-item grain.,normalized tables,Order-level columns repeat and are explicitly prefixed.
TR-017,regions,state and macroregion labels,Map the 27 source state codes to IBGE federation-unit codes and five macroregions.,Creates the regions dimension required by Nexus BI.,"customer_state, seller_state + IBGE classification",All observed state codes resolve.
TR-018,all tables,source missing data,Do not statistically impute any genuine source null.,Avoids hallucinated values and preserves real operational sparsity.,all source files,Every missing output is counted in missingness_report.csv.
TR-019,geolocation,source rows and outlier flag,"Retain every source geolocation observation, add a source-row surrogate key, and flag coordinates outside latitude -35 to 6 / longitude -75 to -32.",Preserves evidence while making obvious coordinate anomalies machine-readable.,olist_geolocation_dataset.csv,No coordinate is deleted or corrected.
TR-020,geolocation_zip_summary,postal-prefix/state aggregates,Aggregate by postal prefix plus state; choose representative city by frequency and compute all-observation and in-envelope coordinate means.,Provides a safe non-duplicating geospatial join surface while retaining the full source file separately.,geolocation,In-envelope means are null when a group has no in-envelope observation.
